Société,forwardPE,beta,priceToBook,priceToSales,dividendYield,trailingEps,debtToEquity,currentRatio,quickRatio,returnOnEquity,returnOnAssets,operatingMargins,profitMargins
Apple,25.42238,1.275,47.25117,,0.49,6.42,146.994,0.821,0.68,1.38015,0.23809999,0.31028998,0.24301
Microsoft,30.385952,0.985,10.491224,,0.73,12.99,32.626,1.372,1.244,0.3361,0.14581999,0.45671,0.35789
Amazon,33.429268,1.308,7.133588,,,6.15,51.641,1.048,0.807,0.2524,0.07632,0.11823,0.1014
Alphabet,18.54799,1.01,5.8507304,,0.51,9.07,8.254,1.768,1.597,0.34789002,0.16896999,0.33918,0.30857
Meta,25.309883,1.237,8.731473,,0.33,25.42,26.763,2.662,2.501,0.39835,0.17879999,0.41487,0.39113998
Tesla,108.018524,2.434,15.095757,,,1.78,17.407,1.996,1.376,0.087740004,0.03724,0.0255,0.063829996
NVIDIA,32.86408,2.114,41.77723,,0.03,2.95,12.946,4.44,3.672,1.1917701,0.57417,0.61107,0.55848
Samsung,9.512593,0.744,,,2.53,,2.741,9.781,7.219,0.0921,0.04156,0.0847,0.11368
Tencent,17.271769,0.587,0.5729039,,0.88,2.84,36.034,1.305,1.045,0.19958,0.076079994,0.34199002,0.29378998
Alibaba,12.508612,,0.28251585,,1.61,6.89,22.782,1.548,0.983,0.114379995,0.05151,0.12038,0.13059
IBM,25.14232,0.629,9.223429,,2.52,5.84,247.978,1.007,0.849,0.21851,0.044689998,0.12399,0.087110005
Intel,22.329897,1.144,0.94713366,,,-4.5,47.129,1.31,0.749,-0.18127,-0.01092,-0.00245,-0.36189
Oracle,22.414806,1.276,26.887253,,1.25,4.29,632.501,1.017,0.873,1.03741,0.073460005,0.31295002,0.21799
Sony,20.739494,0.77,0.018178698,,0.5,1.27,49.332,0.697,0.503,0.14214,0.02549,0.07846,0.08811
Adobe,20.298054,1.551,13.856592,,,15.14,50.118,1.185,1.027,0.47284,0.17194,0.37854,0.30635
Netflix,50.10639,1.585,21.109203,,,21.45,72.513,1.204,1.01,0.40842,0.13789,0.31746998,0.23074
AMD,22.97451,1.968,3.2713513,,,1.39,8.174,2.803,1.765,0.03904,0.0256,0.10836001,0.080249995
Qualcomm,12.469338,1.292,6.0499067,,2.33,9.79,52.737,2.733,1.838,0.42205003,0.13428001,0.28418,0.2611
Cisco,16.31282,0.888,5.501081,,2.55,2.42,63.74,0.951,0.692,0.21356001,0.0631,0.22990999,0.17604
JP Morgan,15.9832735,1.068,2.2439156,,2.09,20.39,,,,0.17352,0.01413,0.43342,0.35382
Goldman Sachs,14.894851,1.311,1.6665052,,1.95,43.27,593.344,1.542,1.412,0.12222,0.008590001,0.38146,0.28056
Visa,28.840443,0.955,18.439472,,0.65,10.04,54.594,1.084,0.682,0.50655,0.16936001,0.67073,0.52859
Johnson & Johnson,14.276415,0.411,4.6607533,,3.48,9.09,66.896,1.257,0.963,0.29447,0.0777,0.29407,0.24415001
Pfizer,7.7918086,0.502,1.4366623,,7.61,1.39,68.843,1.258,0.88,0.0862,0.0479,0.35166,0.1262
ExxonMobil,13.747142,0.475,1.7747413,,3.65,7.51,13.918,1.236,0.858,0.14302,0.061979998,0.12764,0.09726
ASML,27.642681,1.221,14.982852,,1.08,22.1,21.033,1.519,0.807,0.55618,0.15335,0.35367,0.28335
SAP,43.363194,0.952,6.79712,,0.89,4.87,21.931,1.166,1.046,0.12905,0.07627,0.27238,0.16308
Siemens,25.90695,1.133,3.3675265,,2.34,9.32,76.939,1.537,0.917,0.14071,0.03898,0.11246,0.12564999
LVMH,17.322104,1.03,3.726961,,2.56,25.11,59.613,1.409,0.664,0.19635001,0.08356,0.20743999,0.14819999
TotalEnergies,7.106809,0.704,1.0020896,,6.43,5.34,49.733,1.074,0.596,0.117139995,0.05262,0.12755999,0.07247
Shell,8.112378,0.288,83.79315,,4.37,1.65,42.349,1.318,0.873,0.07565,0.051680002,0.13678999,0.04809
Baidu,8.055905,0.369,0.11707079,,,9.17,27.969,2.086,1.754,0.088520005,0.032,0.11757,0.17848
JD.com,8.103865,0.575,0.20639294,,2.91,4.0,28.325,1.257,0.806,0.16283001,0.04142,0.03498,0.0376
BYD,35.509552,0.37,1.4983135,,0.99,4.44,16.708,0.811,0.43,0.23066,0.04032,0.04946,0.05452
ICBC,5.1759257,0.251,0.5367259,,11.94,1.05,,,,0.09161,0.00733,0.66492,0.55083
Toyota,11.608999,0.248,0.066539876,,2.84,24.36,105.19,1.26,1.062,0.13283,0.032560002,0.08944,0.0992
SoftBank,26.174269,0.519,0.9773793,,0.57,779.08,135.55,0.749,0.533,0.11792,0.00994,0.07794,0.15922
Nintendo,9.364486,0.401,0.008564147,,1.33,0.41,,4.605,3.553,0.10463,0.05392,0.16749,0.23933001
Hyundai,,0.989,9.7202115e-05,,5.41,17.32,129.1,,,0.1169,0.027980002,0.081829995,0.0678
Reliance Industries,20.270008,0.402,2.3375406,,0.34,51.19,36.605,1.1,0.589,0.08402,0.03788,0.11612,0.0722
TCS,23.023663,0.413,13.598199,,1.68,134.25,9.807,2.321,2.059,0.52164,0.25389,0.24194999,0.19016
